,totoff,vol,totbid,amount,last,low,high,open,avebid,aveoff,trade,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,ask1,ask2,ask3,ask4,ask5,ask6,ask7,ask8,ask9,ask10,bid_vol1,bid_vol2,bid_vol3,bid_vol4,bid_vol5,bid_vol6,bid_vol7,bid_vol8,bid_vol9,bid_vol10,ask_vol1,ask_vol2,ask_vol3,ask_vol4,ask_vol5,ask_vol6,ask_vol7,ask_vol8,ask_vol9,ask_vol10
93103000,15154950.0,7614440.0,5016800.0,95281439.0,124300.0,124200.0,125500.0,125500.0,120100.0,129400.0,2619.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,125100.0,125200.0,13200.0,144000.0,114800.0,53800.0,93200.0,49600.0,27900.0,108300.0,5500.0,49600.0,37700.0,162690.0,163830.0,24000.0,118600.0,28700.0,65100.0,40700.0,8300.0,288000.0
93106000,15401110.0,7922840.0,4735200.0,99107414.0,124000.0,123900.0,125500.0,125500.0,119900.0,129300.0,2727.0,123900.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,42100.0,93200.0,49600.0,27900.0,108300.0,5500.0,49600.0,21700.0,36600.0,86000.0,131900.0,2700.0,21400.0,55160.0,169590.0,145630.0,26000.0,118600.0,28700.0,69700.0
93109000,15347010.0,8083440.0,4763800.0,101098907.0,124200.0,123900.0,125500.0,125500.0,119900.0,129300.0,2754.0,124000.0,123900.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,125100.0,4800.0,65600.0,93300.0,49900.0,27900.0,108300.0,5500.0,49600.0,21700.0,36600.0,31800.0,130160.0,174690.0,145630.0,20000.0,118600.0,28700.0,69700.0,45700.0,8300.0
93112000,15263110.0,8275540.0,4672300.0,103480142.0,124000.0,123800.0,125500.0,125500.0,119800.0,129400.0,2818.0,124000.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,125100.0,300.0,43700.0,44900.0,27900.0,138300.0,5500.0,49600.0,21700.0,38600.0,86000.0,10700.0,133060.0,174690.0,148030.0,19700.0,118600.0,28700.0,69700.0,45700.0,8300.0
93115000,15076972.0,8581140.0,4726500.0,107275480.0,124300.0,123800.0,125500.0,125500.0,119900.0,129400.0,2890.0,124000.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,125100.0,125200.0,46300.0,43700.0,44800.0,27900.0,138300.0,5500.0,49600.0,21700.0,43600.0,85700.0,58322.0,107290.0,112630.0,27500.0,118600.0,28700.0,69700.0,46700.0,8300.0,282000.0
93118000,14862772.0,8675040.0,4737000.0,108440784.0,124000.0,123800.0,125500.0,125500.0,119900.0,129500.0,2929.0,124000.0,123900.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,46200.0,9700.0,43700.0,44800.0,27900.0,133300.0,5500.0,49600.0,21700.0,43600.0,1000.0,100.0,46222.0,109990.0,112630.0,18400.0,118600.0,28700.0,69700.0,49000.0
93121000,15001672.0,8744340.0,4883800.0,109300424.0,124000.0,123800.0,125500.0,125500.0,120000.0,129400.0,2972.0,124000.0,123900.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,179100.0,9700.0,50900.0,44800.0,27900.0,133300.0,5500.0,49600.0,21700.0,43600.0,71400.0,99900.0,47522.0,110190.0,112630.0,18400.0,118100.0,28700.0,69700.0,49000.0
93124000,15082872.0,8928740.0,4799700.0,111587661.0,124100.0,123800.0,125500.0,125500.0,119900.0,129400.0,3021.0,124000.0,123900.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,63700.0,10400.0,50900.0,44800.0,48400.0,133300.0,5500.0,49600.0,21700.0,43600.0,3900.0,167600.0,65222.0,180790.0,112030.0,18400.0,118100.0,28700.0,69700.0,49000.0
93127000,15346872.0,9136540.0,4707700.0,114164052.0,124000.0,123800.0,125500.0,125500.0,119800.0,129300.0,3107.0,123900.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,20000.0,11300.0,44800.0,48900.0,133600.0,5500.0,49600.0,21700.0,43600.0,91200.0,228800.0,2000.0,167400.0,68722.0,180790.0,112130.0,18400.0,118100.0,22200.0,69700.0
93130000,15422272.0,9287540.0,4688900.0,116035996.0,123900.0,123800.0,125500.0,125500.0,119800.0,129300.0,3149.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,123200.0,123100.0,123000.0,122900.0,123900.0,124000.0,124100.0,124200.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,11300.0,44800.0,48900.0,133600.0,5500.0,49600.0,21700.0,43600.0,91200.0,7000.0,1200.0,240200.0,52000.0,165600.0,67822.0,171990.0,112130.0,18400.0,118000.0,22200.0
